"","playerID","name","IP","ER","ERA","K","ebWAR","efWAR"
"1647","lowntu01","Turk Lown",912,427,4.21,588,5.92,-4.17
"1648","tavarju01","Julian Tavarez",1628,680,3.76,842,5.92,12.5
"1649","buchtry01","Ryan Buchter",353,115,2.93,289,5.91,3.83
"1650","cimbead01","Adam Cimber",454,151,2.99,250,5.91,5.33
"1651","daalom01","Omar Daal",1258,562,4.02,711,5.91,8.68
"1652","galeri01","Rich Gale",950,424,4.02,591,5.91,8.7
"1653","karlsc01","Scott Karl",997,444,4.01,394,5.9,8.67
"1654","parreje01","Jeff Parrett",834,338,3.65,671,5.9,3.33
"1655","hahnje01","Jesse Hahn",495,192,3.49,311,5.9,6.83
"1656","hitchst01","Sterling Hitchcock",1306,659,4.54,857,5.89,10.19
"1657","lombavi01","Vic Lombardi",466,187,3.61,258,5.89,4.53
"1658","jeffcha01","Hal Jeffcoat",563,241,3.85,228,5.88,3.38
"1659","cowlejo01","Joe Cowley",475,195,3.69,358,5.87,3.39
"1660","barojsa01","Salome Barojas",370,147,3.58,208,5.86,2.53
"1661","brebbjo01","John Brebbia",407,141,3.12,291,5.86,4.91
"1662","romoen01","Enrique Romo",508,177,3.14,417,5.85,5.79
"1663","pattebo01","Bob Patterson",750,310,3.72,581,5.85,5.24
"1664","beggsjo01","Joe Beggs",359,123,3.08,174,5.84,0.83
"1665","walkeja01","Jamie Walker",445,150,3.03,286,5.84,3.86
"1666","redfepe01","Pete Redfern",762,333,3.93,537,5.83,8.19
"1667","whitlga01","Garrett Whitlock",233,71,2.74,161,5.82,3.82
"1668","parnebo01","Bobby Parnell",429,144,3.02,334,5.8,7.03
"1669","thurmma01","Mark Thurmond",871,354,3.66,401,5.78,6.84
"1670","mayda02","Darrell May",660,303,4.13,366,5.77,3.99
"1671","lloydgr01","Graeme Lloyd",558,210,3.39,309,5.76,1.6
"1672","burnsto02","Todd Burns",557,224,3.62,300,5.75,3.09
"1673","carragi01","Giovanni Carrara",472,173,3.3,318,5.75,1.67
"1674","ulricdu01","Frank Ulrich",353,139,3.54,181,5.75,5.5
"1675","nunezed01","Ed Nunez",711,314,3.97,576,5.74,5.06
"1676","reyesal01","Alberto Reyes",550,217,3.55,580,5.74,2
"1677","peterda01","David Peterson",439,182,3.73,284,5.73,4.71
"1678","mcculla01","Lance McCullers",549,197,3.23,467,5.72,3.96
"1679","edwarca01","Carl Edwards Jr",403,141,3.15,401,5.72,4.75
"1680","guerrja01","Javy Guerra",497,190,3.44,357,5.72,4.72
"1681","loaisjo01","Jonathan Loáisiga",382,139,3.27,248,5.72,5.64
"1682","holleed01","Ed Holley",389,141,3.26,195,5.71,2.97
"1683","kelledi01","Dick Kelley",518,211,3.67,347,5.69,4.93
"1684","rixeyep01","Eppa Rixey",3594,1552,3.89,1477,5.68,43.39
"1685","woodsdi01","Dick Woodson",555,219,3.55,324,5.68,3.91
"1686","guthrma01","Mark Guthrie",1193,515,3.89,848,5.67,7.7
"1687","paulife01","Felipe Paulino",508,209,3.7,433,5.67,7.05
"1688","stoddbo01","Bob Stoddard",354,146,3.71,210,5.67,2.85
"1689","mccoobi01","Billy McCool",446,171,3.45,394,5.66,5.49
"1690","sanfofr01","Fred Sanford",577,262,4.09,314,5.65,3.71
"1691","willima05","Mark Williamson",785,328,3.76,433,5.65,6.07
"1692","cannigr01","Griffin Canning",435,174,3.6,283,5.64,5.27
"1693","luzarje01","Jesús Luzardo",511,215,3.79,367,5.63,5.91
"1694","reedje01","Jerry Reed",443,171,3.47,303,5.63,2.58
"1695","schroke01","Ken Schrom",917,410,4.02,451,5.63,6.02
"1696","sherrla01","Larry Sherry",501,195,3.5,377,5.63,0.89
"1697","eisenha01","Harry Eisenstat",428,186,3.91,248,5.62,3.87
"1698","arredjo01","Jose Arredondo",305,94,2.77,237,5.61,3.45
"1699","bennede01","Dennis Bennett",770,346,4.04,465,5.61,5.18
"1700","byrdati01","Tim Byrdak",442,164,3.34,402,5.61,4.58
"1701","gilbelo01","Logan Gilbert",421,166,3.55,270,5.61,6.55
"1702","villaos01","Oscar Villarreal",437,152,3.13,321,5.59,3.31
"1703","backebr01","Brandon Backe",542,227,3.77,375,5.58,5.32
"1704","fontera01","Ray Fontenot",493,202,3.69,248,5.58,5.87
"1705","roebued01","Ed Roebuck",270,83,2.77,203,5.58,0.54
"1706","radinsc01","Scott Radinsky",589,231,3.53,410,5.56,5.03
"1707","sanchbr01","Brian Sanches",330,109,2.97,286,5.56,2.68
"1708","hutchdr01","Drew Hutchison",762,336,3.97,499,5.56,7.04
"1709","mcfartj01","T J  McFarland",782,303,3.49,410,5.55,5.93
"1710","phoebto01","Tom Phoebus",985,414,3.78,663,5.55,7.83
"1711","garciyi01","Yimi Garcia",493,178,3.25,394,5.54,5.14
"1712","mateoju01","Julio Mateo",417,151,3.26,296,5.54,2.28
"1713","ritzke01","Kevin Ritz",871,383,3.96,491,5.54,8.23
"1714","surkoma01","Max Surkont",1091,556,4.59,658,5.54,5.09
"1715","baldsja01","Jack Baldschun",586,228,3.5,423,5.53,3.23
"1716","scarbra01","Ray Scarborough",1029,502,4.39,550,5.52,11.21
"1717","beachbr01","Brandon Beachy",325,103,2.85,327,5.51,5.08
"1718","boggsto01","Tommy Boggs",627,255,3.66,436,5.51,8.12
"1719","cruzvi01","Victor Cruz",260,89,3.08,274,5.51,2.64
"1720","maydu01","Dustin May",372,126,3.05,220,5.51,4.67
"1721","adamja01","Jason Adam",265,91,3.09,235,5.5,2.58
"1722","delarru01","Rubby De La Rosa",542,220,3.65,378,5.5,5.41
"1723","paganem01","Emilio Pagán",457,172,3.39,333,5.5,4.18
"1724","farmebu01","Buck Farmer",620,267,3.88,395,5.49,4.07
"1725","richatr01","Trevor Richards",665,285,3.86,462,5.49,6.68
"1726","wilsoji02","Jim Wilson",1278,630,4.44,659,5.49,5.83
"1727","garceri01","Rich Garces",390,139,3.21,320,5.48,2.3
"1728","corbira01","Ray Corbin",612,251,3.69,364,5.48,5.26
"1729","fienca01","Casey Fien",402,153,3.43,308,5.47,4.75
"1730","castifr01","Frank Castillo",1734,789,4.1,1036,5.46,18.05
